Category,Product,Label;
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare 3Butiken Kungsgatan, Kungsgatan 20, 411 19 Göteborg"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare Malmö, Masttorget 6, vån 6, 211 77 Malmö"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare 3Butiken Jönköping, Lantmätargränd 61, 553 20 Jönköping"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare MediaMarkt Högsbo, Lona Knapes gata 1, 421 32 Västra Frölunda"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare Stjärnafyrkant, Ortviksvägen 8, 856 33 Sundsvall"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare Stockholm, Sveavägen 28, 111 34 Stockholm"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Godsinlösen Nordic AB, Handelvägen 18, 24522 Staffanstorp"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare 3Butiken Täby centrum, Stora Vägen 145, 183 34 Täby"",Nordic Swan";
"Cleaning of liquid damaged laptops,""Rengöring av laptops hos Mcare MediaMarkt Gallerian, Hamngatan 37, 111 53 Stockholm"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare MediaMarkt Gallerian, Hamngatan 37, 111 53 Stockholm"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare 3Butiken Jönköping, Lantmätargränd 61, 553 20 Jönköping"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Godsinlösen Nordic AB, Handelvägen 18, 24522 Staffanstorp"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare MediaMarkt Högsbo, Lona Knapes gata 1, 421 32 Västra Frölunda"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare Malmö, Masttorget 6, vån 6, 211 77 Malmö"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare 3Butiken Kungsgatan, Kungsgatan 20, 411 19 Göteborg"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare 3Butiken Täby centrum, Stora Vägen 145, 183 34 Täby"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare Stjärnafyrkant, Ortviksvägen 8, 856 33 Sundsvall"",Nordic Swan";
"Cleaning of liquid damaged smartphones,""Rengöring av mobiltelefoner hos Mcare Stockholm, Sveavägen 28, 111 34 Stockholm"",Nordic Swan";
Copier,Brother DCP-L8450CDW,Nordic Swan;
Copier,Brother DCP-9020CDW,Nordic Swan;
Copier,Brother DCP-L6600DW,Nordic Swan;
Copier,Brother DCP-L8400CDN,Nordic Swan;
Copier,Brother DCP-J4120DW,Nordic Swan;
Copier,Digital Copier DCP9015CDW,Nordic Swan;
Copier,Brother DCP-L3517CDW,Nordic Swan;
Copier,Brother MFC-9330CDW,Nordic Swan;
Copier,Brother HL-3170CDW,Nordic Swan;
Copier,Brother DCP-L5500DN,Nordic Swan;
Multifunction printer,MFC-J4535DWXL,Nordic Swan;
Multifunction printer,e-STUDIO400AC,Nordic Swan;
Multifunction printer,e-STUDIO3018A,Nordic Swan;
Multifunction printer,Brother MFC-L3750CDW,Nordic Swan;
Multifunction printer,Toshiba e-STUDIO6506AC,Nordic Swan;
Multifunction printer,Brother MFC-L9570CDW,Nordic Swan;
Multifunction printer,e-STUDIO3508A,Nordic Swan;
Multifunction printer,Brother MFC-J5730DW,Nordic Swan;
Multifunction printer,Brother MFC – J985DW,Nordic Swan;
Multifunction printer,Brother MFC-J680DW,Nordic Swan;
Primary batteries,Energizer Max AA Alkaline,Nordic Swan;
Primary batteries,Energizer Max AA Alkaline,Nordic Swan;
Primary batteries,Duracell Plus: AAA alkaline,Nordic Swan;
Primary batteries,Duracell Plus: AAA alkaline,Nordic Swan;
Primary batteries,Duracell Plus: AA alkaline,Nordic Swan;
Primary batteries,Duracell Plus: AA alkaline,Nordic Swan;
"Primary batteries,""FAVORIT (Bergendahls), LR14"",Nordic Swan";
Primary batteries,ICA LR14,Nordic Swan;
Primary batteries,Voniko LR20,Nordic Swan;
"Primary batteries,""Anslut, 6LR61"",Nordic Swan";
Printer,Brother HL-L3270CDW,Nordic Swan;
Printer,Brother HL-J6100DW,Nordic Swan;
Printer,e-STUDIO3508LP,Nordic Swan;
Printer,Brother HL-L2310D,Nordic Swan;
Printer,Brother HL-L5100DN,Nordic Swan;
Printer,Brother HL-L9200CDWT,Nordic Swan;
Printer,HL-J6010DW,Nordic Swan;
Printer,Brother DCP-J572DW,Nordic Swan;
Printer,Brother HL-L2357DW,Nordic Swan;
Printer,Brother HL-L2350DW,Nordic Swan;
Rechargeable battery,ENERGIZER Rech Power Plus AAA/E92 700mAh FSB4,Nordic Swan;
"Rechargeable battery,""Deltaco Rechargeable, AAA Size HR03 1000 mAh"",Nordic Swan";
"Rechargeable battery,""Deltaco Rechargeable, AA Size HR6 2500 mAh"",Nordic Swan";
Rechargeable battery,VARTA RECHARGE ACCU Recycled AA 2100mAh,Nordic Swan;
Rechargeable battery,ENERGIZER Rech Extreme AAA/E92 800mAh FSB4,Nordic Swan;
Rechargeable battery,VARTA RECHARGE ACCU Power AA 2600mAh,Nordic Swan;
Rechargeable battery,ENERGIZER Rech Power Plus AA/E91 2000mAh FSB4,Nordic Swan;
Rechargeable battery,VARTA RECHARGE ACCU Recycled AAA 800mAh,Nordic Swan;
Rechargeable battery,ENERGIZER Rech Extreme AA/E91 2300mAh FSB4,Nordic Swan;
"Rechargeable battery,""Ultra Power Rechargeable, AA Size HR6 2500 mAh"",Nordic Swan";
Baby Phones,LeapFrog LF80,Blue Angel;
Climate-Friendly Co-Location Data Center,akquinet DATA CENTER AKQ-RZ-HAM-02,Blue Angel;
Coffee Machines,ritter coffee machine cafena 5,Blue Angel;
Computers and Keyboards,CHERRY SECURE BOARD 1.0 M/N: JK-A04,Blue Angel;
Computers and Keyboards,CHERRY Stream Corded Multimedia Keyboard G85-23xxx,Blue Angel;
Computers and Keyboards,CHERRY STREAM DESKTOP RECHARGE,Blue Angel;
Computers and Keyboards,CHERRY STREAM KEYBOARD JK-85,Blue Angel;
Computers and Keyboards,CHERRY STREAM KEYBOARD JK-85 & CHERRY STREAM DESKTOP JD-85,Blue Angel;
Computers and Keyboards,CHERRY STREAM KEYBOARD TKL,Blue Angel;
Computers and Keyboards,CHERRY Tastatur B.Unlimited JD-04,Blue Angel;
Computers and Keyboards,CHERRY Tastatur KC 1000 (M/N): JG-08,Blue Angel;
Computers and Keyboards,CHERRY Tastatur KC 1000 SC (M/N): JK-A0xxx und KC 1000 SC/DI (M/N): JK-A0xxx,Blue Angel;
Computers and Keyboards,FUJITSU Keyboard KB 100 SCR,Blue Angel;
Computers and Keyboards,FUJITSU Tastatur KB521,Blue Angel;
Data Centers,BSH Rechenzentrum Bundesamt für Seeschifffahrt und Hydrographie (BSH) Bernhard-Nocht-Straße 78 20359 Hamburg,Blue Angel;
Data Centers,Green IT Cube,Blue Angel;
Data Centers,HLRS Höchstleistungsrechenzentrum Universität Stuttgart,Blue Angel;
Data Shredders,HSM SECURIO P36i,Blue Angel;
Data Shredders,HSM SECURIO P40i,Blue Angel;
Data Shredders,HSM SECURIO P44i,Blue Angel;
"Data Shredders,""IDEAL 2245, 2245 CC, 2265, 2265 CC, EBA 1126, 1126 C, 1128, 1128 C"",Blue Angel";
"Data Shredders,""IDEAL 2445, 2445 CC, 2445 MC, 2445 SMC";" EBA 1624 S, 1624 C, 1624 CC, 1624 CCC"",Blue Angel"
"Data Shredders,""IDEAL 2465, 2465 CC";" EBA 1824 S, 1824 C"",Blue Angel"
"Data Shredders,""IDEAL 2503, 2503CC";" EBA 2127S, 2127C"",Blue Angel"
"Data Shredders,""IDEAL 2604, 2604CC, 2604MC, 2604SMC, 2605 SMC";" EBA 2326S, 2326C, 2326CC, 2326CCC, 2026-2CCC"",Blue Angel"
"Data Shredders,""IDEAL 3104, 3104CC";" EBA 2331S, 2331C"",Blue Angel"
"Data Shredders,""IDEAL 3105, 3105CC, 3105SMC";" EBA 5131S, 5131C, 5131CCC"",Blue Angel"
"Data Shredders,""IDEAL 3804, 3804CC";" EBA 2339S, 2339C"",Blue Angel"
"Data Shredders,""IDEAL 4002, 4002CC";" EBA 3140S, 3140C"",Blue Angel"
"Data Shredders,""IDEAL 4005, 4005CC, 4005MC, 4005SMC";" EBA 5141S, 5141C, 5141CC, 5141CCC"",Blue Angel"
Data Shredders,Securio AF150,Blue Angel;
Data Shredders,Securio AF300,Blue Angel;
Data Shredders,Securio AF500,Blue Angel;
Data Shredders,Securio B22,Blue Angel;
Data Shredders,Securio B24,Blue Angel;
Data Shredders,Securio B26,Blue Angel;
Data Shredders,Securio B32,Blue Angel;
Data Shredders,Securio B34,Blue Angel;
Data Shredders,Securio B35,Blue Angel;
Data Shredders,Securio C14,Blue Angel;
Data Shredders,Securio C16,Blue Angel;
Data Shredders,Securio C18,Blue Angel;
Digital cordless phone,Telekom Sinus 12 / Sinus A 12,Blue Angel;
Digital cordless phone,Telekom Sinus 207 / Sinus A 207 / Sinus 207 Pack,Blue Angel;
Digital cordless phone,Telekom Sinus A32,Blue Angel;
Digital cordless phone,Telekom Sinus PA 207 Plus 1,Blue Angel;
Digital cordless phone,Telekom Speedphone 12,Blue Angel;
Digital cordless phone,Telekom Speedphone 32,Blue Angel;
Digital cordless phone,Telekom Speedphone 52,Blue Angel;
Garden tools,ATIKA Leise-Walzenhäcksler Modell AH 621/Typ LHF 2800,Blue Angel;
Garden tools,ATIKA Leise-Walzenhäcksler Modell ALF 2800,Blue Angel;
Mobile Phones (until 12/2022),Fairphone 4 5G,Blue Angel;
Printers and Multifunction Devices,Brother DCP-J1050DW,Blue Angel;
Printers and Multifunction Devices,Brother DCP-J1140DW,Blue Angel;
Printers and Multifunction Devices,Brother DCP-J1200W,Blue Angel;
Printers and Multifunction Devices,Brother DCP-L2510D,Blue Angel;
Printers and Multifunction Devices,Brother DCP-L2530DW,Blue Angel;
Printers and Multifunction Devices,Brother DCP-L2550DN,Blue Angel;
Printers and Multifunction Devices,Brother HL-L2310D,Blue Angel;
Printers and Multifunction Devices,Brother HL-L2350DW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L2370DN,Blue Angel;
Printers and Multifunction Devices,Brother HL-L2375DW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L3210CW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L3230CDW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L3270CDW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L5000D,Blue Angel;
Printers and Multifunction Devices,Brother HL-L5100DN,Blue Angel;
Printers and Multifunction Devices,Brother HL-L5100DNT,Blue Angel;
Printers and Multifunction Devices,Brother HL-L5200DW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L6250DN,Blue Angel;
Printers and Multifunction Devices,Brother HL-L6300DW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L6400DW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L6450DW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L8260CDW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L8360CDW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L9310CDW,Blue Angel;
Printers and Multifunction Devices,Brother HL-L9310CDWT,Blue Angel;
Printers and Multifunction Devices,Brother HL-L9310CDWTT,Blue Angel;
Printers and Multifunction Devices,Brother MFC-J1010DW,Blue Angel;
Printers and Multifunction Devices,Brother MFC-J4335DW,Blue Angel;
Printers and Multifunction Devices,Brother MFC-J4340DW,Blue Angel;
Printers and Multifunction Devices,Brother MFC-J4540DW,Blue Angel;
Printers and Multifunction Devices,Brother MFC-J4540DW XL,Blue Angel;
Printers and Multifunction Devices,Brother MFC-L2710DN,Blue Angel;
Printers and Multifunction Devices,Brother MFC-L2710DW,Blue Angel;
Printers and Multifunction Devices,Brother MFC-L2730DW,Blue Angel;
Printers and Multifunction Devices,Brother MFC-L2750DW,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP162dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP223dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP226dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP228x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP233dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP236dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP325x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP351x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP352x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP623Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP631Cw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP633Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP663Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP673Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP722Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS LBP852Cx,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF264dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF267dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF269dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF443dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF445dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF446x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF449x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF453dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF455dw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF542x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF543x,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF643Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF645Cx,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF651Cw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF655Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF657Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF742Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF744Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF746Cx,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF752Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF754Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS MF832Cdw,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238i,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238i II,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238iF,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238iF II,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238P,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238P II,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238Pr,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1238Pr II,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X 1643P,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1127i,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1127iF,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1127P,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1333i,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1333iF,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1333P,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1533P,Blue Angel;
Printers and Multifunction Devices,Canon i-SENSYS X C1538P,Blue Angel;
Printers and Multifunction Devices,Canon imagePRESS C165,Blue Angel;
Printers and Multifunction Devices,Canon imagePRESS C170,Blue Angel;
Printers and Multifunction Devices,Canon imagePRESS C265,Blue Angel;
Printers and Multifunction Devices,Canon imagePRESS C270,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 1643i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 1643iF,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 2625i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 2630i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 2645i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 2725i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 2730i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER 2745i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 4725i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 4735i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 4745i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 4751i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 4825i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 4835i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 4845i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 527i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 527iZ,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 617i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 617iZ,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 6855i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 6860i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 6870i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 717i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX 717iZ,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C257i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C357i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C357P,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C3822i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C3826i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C3830i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C3835i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C478i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C478iZ,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C5840i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C5850i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C5860i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C5870i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C7765i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C7770i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER ADVANCE DX C7780i,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER C1533iF,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER C1538iF,Blue Angel;
Printers and Multifunction Devices,Canon imageRUNNER C3226i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 300i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 360i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 4050i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 450i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 4700i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 4750i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 550i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 650i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo 750i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 250i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 300i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 3300i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 3320i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 3350i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 360i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 4000i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 4050i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 450i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 550i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 650i,Blue Angel;
Printers and Multifunction Devices,DEVELOP ineo+ 750i,Blue Angel;
Printers and Multifunction Devices,EPSON WF-C8190B,Blue Angel;
Printers and Multifunction Devices,EPSON WF-C8690B,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce AL-M320DN,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Enterprise WF-C20600,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Enterprise WF-C20750,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Enterprise WF-C21000,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Enterprise WF-M21000,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-C5290BAM,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-C529RBAM,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-C5790BAM,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-C579RBAM,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-C878RB,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-C879RBAM,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-M5299BAM,Blue Angel;
Printers and Multifunction Devices,EPSON WorkForce Pro WF-M5799BAM,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise Flow MFP M578c,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise Flow MFP M681z,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise Flow MFP M682z,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise Flow MFP M776z,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise Flow MFP M776zs,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M455dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M554dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M555dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M555x,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M652dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M653dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M653x,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M751dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise M856dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise MFP M480f,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise MFP M578dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise MFP M681dh,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise MFP M681f,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Enterprise MFP M776dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed E45028dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed E55040dn (3GX99A),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed E65150dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed E65160dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed E75245dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed E85055dn,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E57540c,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E67660z,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E78323z (8GR99A),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E78323z (8GS28A),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E78325z (8GS00A),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E78325z (8GS29A),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E78330z (8GS01A),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E78330z (8GS30A),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E87640z (ab/from SN CNC8KD1001),Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed Flow MFP E87650z (ab/from SN CNC8KD1001),Blue Angel;
"Printers and Multifunction Devices,""HP Color LaserJet Managed Flow MFP E87660z (ab/from SN CNC8KD1001, ab/from FN 24.9.1)"",Blue Angel";
Printers and Multifunction Devices,HP Color LaserJet Managed MFP E47528f,Blue Angel;
Printers and Multifunction Devices,HP Color LaserJet Managed MFP E57540dn,Blue Angel;
